both,Word,Longword,Points
fanciest(6),fanciest,INFUSCATE,6
unifaces(6),unifaces,,6
acetins(5),acetins,,5
aunties(5),aunties,,5
cineast(5),cineast,,5
fainest(5),fainest,,5
fancies(5),fancies,,5
fascine(5),fascine,,5
faucets(5),faucets,,5
faunist(5),faunist,,5
fiances(5),fiances,,5
fustian(5),fustian,,5
infects(5),infects,,5
neustic(5),neustic,,5
nutcase(5),nutcase,,5
sinuate(5),sinuate,,5
tunicae(5),tunicae,,5
uniface(5),uniface,,5
acetin(4),acetin,,4
acinus(4),acinus,,4
actins(4),actins,,4
acutes(4),acutes,,4
antics(4),antics,,4
ascent(4),ascent,,4
auntie(4),auntie,,4
cantus(4),cantus,,4
casein(4),casein,,4
centai(4),centai,,4
centas(4),centas,,4
cueist(4),cueist,,4
cuesta(4),cuesta,,4
cunits(4),cunits,,4
cuties(4),cuties,,4
cutins(4),cutins,,4
enacts(4),enacts,,4
enatic(4),enatic,,4
facets(4),facets,,4
facies(4),facies,,4
faints(4),faints,,4
fasten(4),fasten,,4
fauces(4),fauces,,4
faucet(4),faucet,,4
feints(4),feints,,4
fiance(4),fiance,,4
fiesta(4),fiesta,,4
fincas(4),fincas,,4
finest(4),finest,,4
funest(4),funest,,4
fusain(4),fusain,,4
fustic(4),fustic,,4
incase(4),incase,,4
incest(4),incest,,4
incuse(4),incuse,,4
infect(4),infect,,4
infest(4),infest,,4
infuse(4),infuse,,4
insect(4),insect,,4
nastic(4),nastic,,4
nicest(4),nicest,,4
secant(4),secant,,4
seitan(4),seitan,,4
stance(4),stance,,4
tenias(4),tenias,,4
tenuis(4),tenuis,,4
tineas(4),tineas,,4
tisane(4),tisane,,4
tunica(4),tunica,,4
tunics(4),tunics,,4
uncase(4),uncase,,4
uncast(4),uncast,,4
unciae(4),unciae,,4
unfits(4),unfits,,4
unites(4),unites,,4
unsafe(4),unsafe,,4
unseat(4),unseat,,4
unties(4),unties,,4
usance(4),usance,,4
acnes(3),acnes,,3
actin(3),actin,,3
acute(3),acute,,3
anise(3),anise,,3
antes(3),antes,,3
antic(3),antic,,3
antis(3),antis,,3
aunts(3),aunts,,3
cafes(3),cafes,,3
cains(3),cains,,3
canes(3),canes,,3
canst(3),canst,,3
cants(3),cants,,3
caste(3),caste,,3
cates(3),cates,,3
cause(3),cause,,3
cents(3),cents,,3
centu(3),centu,,3
cesta(3),cesta,,3
cesti(3),cesti,,3
cines(3),cines,,3
cites(3),cites,,3
cuifs(3),cuifs,,3
cunit(3),cunit,,3
cutes(3),cutes,,3
cutie(3),cutie,,3
cutin(3),cutin,,3
cutis(3),cutis,,3
enact(3),enact,,3
entia(3),entia,,3
etics(3),etics,,3
etnas(3),etnas,,3
etuis(3),etuis,,3
faces(3),faces,,3
facet(3),facet,,3
facts(3),facts,,3
faint(3),faint,,3
fanes(3),fanes,,3
fates(3),fates,,3
fauns(3),fauns,,3
feast(3),feast,,3
feats(3),feats,,3
feint(3),feint,,3
feist(3),feist,,3
festa(3),festa,,3
fetas(3),fetas,,3
fetus(3),fetus,,3
fiats(3),fiats,,3
fices(3),fices,,3
ficus(3),ficus,,3
finca(3),finca,,3
fines(3),fines,,3
ictus(3),ictus,,3
incus(3),incus,,3
inset(3),inset,,3
naifs(3),naifs,,3
nates(3),nates,,3
neats(3),neats,,3
neifs(3),neifs,,3
neist(3),neist,,3
nites(3),nites,,3
saice(3),saice,,3
saint(3),saint,,3
satin(3),satin,,3
sauce(3),sauce,,3
saute(3),saute,,3
scant(3),scant,,3
scena(3),scena,,3
scent(3),scent,,3
scuta(3),scuta,,3
scute(3),scute,,3
senti(3),senti,,3
since(3),since,,3
snafu(3),snafu,,3
stain(3),stain,,3
stane(3),stane,,3
stein(3),stein,,3
suint(3),suint,,3
suite(3),suite,,3
taces(3),taces,,3
tains(3),tains,,3
teins(3),teins,,3
tenia(3),tenia,,3
tians(3),tians,,3
tinea(3),tinea,,3
tines(3),tines,,3
tufas(3),tufas,,3
tunas(3),tunas,,3
tunes(3),tunes,,3
tunic(3),tunic,,3
unais(3),unais,,3
uncia(3),uncia,,3
unfit(3),unfit,,3
unica(3),unica,,3
unite(3),unite,,3
units(3),units,,3
unset(3),unset,,3
untie(3),untie,,3
usnea(3),usnea,,3
aces(2),aces,,2
acne(2),acne,,2
acts(2),acts,,2
ains(2),ains,,2
aits(2),aits,,2
anes(2),anes,,2
anis(2),anis,,2
ante(2),ante,,2
anti(2),anti,,2
ants(2),ants,,2
asci(2),asci,,2
ates(2),ates,,2
aunt(2),aunt,,2
cafe(2),cafe,,2
cafs(2),cafs,,2
cain(2),cain,,2
cane(2),cane,,2
cans(2),cans,,2
cant(2),cant,,2
case(2),case,,2
cast(2),cast,,2
cate(2),cate,,2
cats(2),cats,,2
cent(2),cent,,2
cine(2),cine,,2
cist(2),cist,,2
cite(2),cite,,2
cues(2),cues,,2
cuif(2),cuif,,2
cute(2),cute,,2
cuts(2),cuts,,2
east(2),east,,2
eats(2),eats,,2
ecus(2),ecus,,2
efts(2),efts,,2
etas(2),etas,,2
etic(2),etic,,2
etna(2),etna,,2
etui(2),etui,,2
face(2),face,,2
fact(2),fact,,2
fain(2),fain,,2
fane(2),fane,,2
fans(2),fans,,2
fast(2),fast,,2
fate(2),fate,,2
fats(2),fats,,2
faun(2),faun,,2
feat(2),feat,,2
fens(2),fens,,2
fest(2),fest,,2
feta(2),feta,,2
fets(2),fets,,2
feus(2),feus,,2
fiat(2),fiat,,2
fice(2),fice,,2
fine(2),fine,,2
fins(2),fins,,2
fisc(2),fisc,,2
fist(2),fist,,2
fits(2),fits,,2
fuci(2),fuci,,2
funs(2),funs,,2
fuse(2),fuse,,2
ices(2),ices,,2
naes(2),naes,,2
naif(2),naif,,2
neat(2),neat,,2
neif(2),neif,,2
nest(2),nest,,2
nets(2),nets,,2
nice(2),nice,,2
nite(2),nite,,2
nits(2),nits,,2
nuts(2),nuts,,2
safe(2),safe,,2
sain(2),sain,,2
sane(2),sane,,2
sate(2),sate,,2
sati(2),sati,,2
scan(2),scan,,2
scat(2),scat,,2
scut(2),scut,,2
seat(2),seat,,2
sect(2),sect,,2
seif(2),seif,,2
sent(2),sent,,2
seta(2),seta,,2
sice(2),sice,,2
sift(2),sift,,2
sine(2),sine,,2
site(2),site,,2
snit(2),snit,,2
stun(2),stun,,2
suet(2),suet,,2
suit(2),suit,,2
tace(2),tace,,2
tain(2),tain,,2
tans(2),tans,,2
tase(2),tase,,2
taus(2),taus,,2
teas(2),teas,,2
tecs(2),tecs,,2
tein(2),tein,,2
tens(2),tens,,2
tian(2),tian,,2
tics(2),tics,,2
ties(2),ties,,2
tine(2),tine,,2
tins(2),tins,,2
tufa(2),tufa,,2
tuis(2),tuis,,2
tuna(2),tuna,,2
tune(2),tune,,2
tuns(2),tuns,,2
unai(2),unai,,2
unci(2),unci,,2
unis(2),unis,,2
unit(2),unit,,2
utas(2),utas,,2
utes(2),utes,,2
xxx,xxx,,0