both,Word,Points,Longword,,both,Word2,Points2,Longword2
braising(6),braising,6,ASCRIBING,,claimable(7),claimable,7,IMPLACABLE
bracings(6),bracings,6,,,amicable(6),amicable,6,
scribing(6),scribing,6,,,mailable(6),mailable,6,
raising(5),raising,5,,,camellia(6),camellia,6,
arising(5),arising,5,,,placable(6),placable,6,
bracing(5),bracing,5,,,capable(5),capable,5,
racings(5),racings,5,,,camelia(5),camelia,5,
sacring(5),sacring,5,,,alembic(5),alembic,5,
arcings(5),arcings,5,,,cembali(5),cembali,5,
scaring(5),scaring,5,,,pliable(5),pliable,5,
carings(5),carings,5,,,amiable(5),amiable,5,
airings(5),airings,5,,,cambial(5),cambial,5,
sabring(5),sabring,5,,,micella(5),micella,5,
biasing(5),biasing,5,,,apical(4),apical,4,
casing(4),casing,4,,,becalm(4),becalm,4,
grains(4),grains,4,,,cambia(4),cambia,4,
racing(4),racing,4,,,mallei(4),mallei,4,
raisin(4),raisin,4,,,laical(4),laical,4,
casini(4),casini,4,,,aecial(4),aecial,4,
baring(4),baring,4,,,micell(4),micell,4,
airing(4),airing,4,,,impala(4),impala,4,
rasing(4),rasing,4,,,baalim(4),baalim,4,
siring(4),siring,4,,,alible(4),alible,4,
cigars(4),cigars,4,,,malice(4),malice,4,
cairns(4),cairns,4,,,calami(4),calami,4,
basing(4),basing,4,,,plaice(4),plaice,4,
arcing(4),arcing,4,,,amebic(4),amebic,4,
icings(4),icings,4,,,impale(4),impale,4,
ricing(4),ricing,4,,,lamiae(4),lamiae,4,
bairns(4),bairns,4,,,labial(4),labial,4,
caring(4),caring,4,,,epical(4),epical,4,
rising(4),rising,4,,,pallia(4),pallia,4,
anisic(4),anisic,4,,,abelia(4),abelia,4,
brings(4),brings,4,,,camail(4),camail,4,
brains(4),brains,4,,,liable(4),liable,4,
cabins(4),cabins,4,,,labile(4),labile,4,
ricins(4),ricins,4,,,paleal(4),paleal,4,
bangs(3),bangs,3,,,lambie(4),lambie,4,
cairn(3),cairn,3,,,plicae(4),plicae,4,
signa(3),signa,3,,,palace(4),palace,4,
naric(3),naric,3,,,paella(4),paella,4,
brins(3),brins,3,,,plical(4),plical,4,
grabs(3),grabs,3,,,limba(3),limba,3,
nabis(3),nabis,3,,,plica(3),plica,3,
baric(3),baric,3,,,cable(3),cable,3,
girns(3),girns,3,,,lilac(3),lilac,3,
bancs(3),bancs,3,,,apace(3),apace,3,
narcs(3),narcs,3,,,blame(3),blame,3,
abris(3),abris,3,,,ample(3),ample,3,
acing(3),acing,3,,,limpa(3),limpa,3,
basin(3),basin,3,,,mille(3),mille,3,
sarin(3),sarin,3,,,abeam(3),abeam,3,
acini(3),acini,3,,,pilea(3),pilea,3,
rangs(3),rangs,3,,,camel(3),camel,3,
carns(3),carns,3,,,maile(3),maile,3,
ragis(3),ragis,3,,,ameba(3),ameba,3,
cains(3),cains,3,,,amble(3),amble,3,
garni(3),garni,3,,,email(3),email,3,
brags(3),brags,3,,,impel(3),impel,3,
cigar(3),cigar,3,,,maill(3),maill,3,
bairn(3),bairn,3,,,abaci(3),abaci,3,
naris(3),naris,3,,,libel(3),libel,3,
grain(3),grain,3,,,labia(3),labia,3,
brigs(3),brigs,3,,,cella(3),cella,3,
gains(3),gains,3,,,ileac(3),ileac,3,
carbs(3),carbs,3,,,campi(3),campi,3,
brain(3),brain,3,,,bicep(3),bicep,3,
cabin(3),cabin,3,,,blimp(3),blimp,3,
ricin(3),ricin,3,,,macle(3),macle,3,
scrag(3),scrag,3,,,palea(3),palea,3,
barns(3),barns,3,,,melic(3),melic,3,
airns(3),airns,3,,,pical(3),pical,3,
ranis(3),ranis,3,,,maple(3),maple,3,
bring(3),bring,3,,,aecia(3),aecia,3,
grans(3),grans,3,,,calla(3),calla,3,
iring(3),iring,3,,,amice(3),amice,3,
crabs(3),crabs,3,,,celli(3),celli,3,
icing(3),icing,3,,,lapel(3),lapel,3,
rings(3),rings,3,,,llama(3),llama,3,
sabin(3),sabin,3,,,ileal(3),ileal,3,
gnars(3),gnars,3,,,climb(3),climb,3,
scran(3),scran,3,,,cabal(3),cabal,3,
brans(3),brans,3,,,malic(3),malic,3,
crags(3),crags,3,,,abamp(3),abamp,3,
garbs(3),garbs,3,,,clime(3),clime,3,
basic(3),basic,3,,,pibal(3),pibal,3,
rains(3),rains,3,,,label(3),label,3,
grins(3),grins,3,,,becap(3),becap,3,
sabir(3),sabir,3,,,milpa(3),milpa,3,
rabic(3),rabic,3,,,ceiba(3),ceiba,3,
cribs(3),cribs,3,,,place(3),place,3,
bang(2),bang,2,,,clamp(3),clamp,3,
scag(2),scag,2,,,lamia(3),lamia,3,
ribs(2),ribs,2,,,claim(3),claim,3,
nabs(2),nabs,2,,,lamp(2),lamp,2,
bani(2),bani,2,,,clam(2),clam,2,
brig(2),brig,2,,,iamb(2),iamb,2,
gain(2),gain,2,,,bail(2),bail,2,
barn(2),barn,2,,,cami(2),cami,2,
airn(2),airn,2,,,alme(2),alme,2,
anis(2),anis,2,,,mill(2),mill,2,
crib(2),crib,2,,,acme(2),acme,2,
rigs(2),rigs,2,,,able(2),able,2,
grab(2),grab,2,,,clap(2),clap,2,
narc(2),narc,2,,,peal(2),peal,2,
nags(2),nags,2,,,plie(2),plie,2,
rang(2),rang,2,,,plea(2),plea,2,
snib(2),snib,2,,,pleb(2),pleb,2,
cigs(2),cigs,2,,,paca(2),paca,2,
inia(2),inia,2,,,limp(2),limp,2,
sign(2),sign,2,,,mail(2),mail,2,
bing(2),bing,2,,,pial(2),pial,2,
gars(2),gars,2,,,alec(2),alec,2,
rani(2),rani,2,,,camp(2),camp,2,
scan(2),scan,2,,,baal(2),baal,2,
bars(2),bars,2,,,pale(2),pale,2,
airs(2),airs,2,,,pace(2),pace,2,
nibs(2),nibs,2,,,leal(2),leal,2,
rain(2),rain,2,,,ceil(2),ceil,2,
grin(2),grin,2,,,pica(2),pica,2,
brin(2),brin,2,,,beal(2),beal,2,
girn(2),girn,2,,,pali(2),pali,2,
carn(2),carn,2,,,beam(2),beam,2,
cain(2),cain,2,,,alae(2),alae,2,
brag(2),brag,2,,,leap(2),leap,2,
sari(2),sari,2,,,lipa(2),lipa,2,
scar(2),scar,2,,,mabe(2),mabe,2,
bans(2),bans,2,,,pall(2),pall,2,
ains(2),ains,2,,,pile(2),pile,2,
crab(2),crab,2,,,pice(2),pice,2,
sang(2),sang,2,,,lace(2),lace,2,
ring(2),ring,2,,,palm(2),palm,2,
asci(2),asci,2,,,alba(2),alba,2,
rais(2),rais,2,,,bale(2),bale,2,
ibis(2),ibis,2,,,meal(2),meal,2,
bris(2),bris,2,,,acai(2),acai,2,
cars(2),cars,2,,,lipe(2),lipe,2,
sain(2),sain,2,,,pima(2),pima,2,
gran(2),gran,2,,,blae(2),blae,2,
gnar(2),gnar,2,,,lama(2),lama,2,
bran(2),bran,2,,,cape(2),cape,2,
crag(2),crag,2,,,lamb(2),lamb,2,
isba(2),isba,2,,,pill(2),pill,2,
gins(2),gins,2,,,blip(2),blip,2,
abri(2),abri,2,,,emic(2),emic,2,
cans(2),cans,2,,,male(2),male,2,
bins(2),bins,2,,,mace(2),mace,2,
agin(2),agin,2,,,lice(2),lice,2,
snag(2),snag,2,,,lame(2),lame,2,
sing(2),sing,2,,,ball(2),ball,2,
cris(2),cris,2,,,bile(2),bile,2,
bras(2),bras,2,,,bice(2),bice,2,
arbs(2),arbs,2,,,bema(2),bema,2,
bias(2),bias,2,,,balm(2),balm,2,
ragi(2),ragi,2,,,ilea(2),ilea,2,
gabs(2),gabs,2,,,laic(2),laic,2,
rins(2),rins,2,,,mica(2),mica,2,
nisi(2),nisi,2,,,lima(2),lima,2,
garb(2),garb,2,,,pail(2),pail,2,
iris(2),iris,2,,,bell(2),bell,2,
bags(2),bags,2,,,blam(2),blam,2,
rias(2),rias,2,,,limb(2),limb,2,
gibs(2),gibs,2,,,bima(2),bima,2,
arcs(2),arcs,2,,,amia(2),amia,2,
cabs(2),cabs,2,,,clip(2),clip,2,
scab(2),scab,2,,,mall(2),mall,2,
banc(2),banc,2,,,mile(2),mile,2,
rags(2),rags,2,,,mice(2),mice,2,
carb(2),carb,2,,,lime(2),lime,2,
bigs(2),bigs,2,,,call(2),call,2,
xxx,xxx,0,,,bill(2),bill,2,
xxx,xxx,0,,,came(2),came,2,
xxx,xxx,0,,,calm(2),calm,2,
xxx,xxx,0,,,amie(2),amie,2,
xxx,xxx,0,,,alma(2),alma,2,
xxx,xxx,0,,,mell(2),mell,2,
xxx,xxx,0,,,cell(2),cell,2,
xxx,xxx,0,,,epic(2),epic,2,
xxx,xxx,0,,,xxx,xxx,0,